CountyID,CountyName,WDrkSrc,SmpSrc,SmpDUs,TotDUs,pcntDUsusingsrc,NoUsingSrc,
"1","NAIROBI","Piped water (connection of someone else, outside the plot)   ","10315","23373","720300","44.13","317884",
"1","NAIROBI","Piped water (own connection, on the plot)","9298","23373","720300","39.78","286542",
"1","NAIROBI","Borehole with kiosk / taps ","961","23373","720300","4.11","29616",
"1","NAIROBI","Vendors(donkey carts, bicycles, tanker truck, etc.)   ","861","23373","720300","3.68","26534",
"1","NAIROBI","Piped water(communal tap) ","559","23373","720300","2.39","17227",
"1","NAIROBI","Piped water(water kiosk)   ","507","23373","720300","2.17","15625",
"1","NAIROBI","Piped water(Public stand pipe) ","484","23373","720300","2.07","14916",
"1","NAIROBI","Yard well(protected) ","160","23373","720300","0.68","4931",
"1","NAIROBI","Yard well(unprotected)   ","59","23373","720300","0.25","1818",
"1","NAIROBI","Other ","55","23373","720300","0.24","1695",
"1","NAIROBI","Leak in the Countyribution network ","45","23373","720300","0.19","1387",
"1","NAIROBI","Bottled water ","19","23373","720300","0.08","586",
"1","NAIROBI","Rain water harvesting installation(own installation)   ","18","23373","720300","0.08","555",
"1","NAIROBI","Stream,   river, lake, dam, canal, pond ","12","23373","720300","0.05","370",
"1","NAIROBI","Vandalised pipe ","7","23373","720300","0.03","216",
"1","NAIROBI","Spring(unprotected) ","5","23373","720300","0.02","154",
"1","NAIROBI","Hand pump(private) ","3","23373","720300","0.01","92",
"1","NAIROBI","Water harvesting installation(installation of someone else) ","3","23373","720300","0.01","92",
"1","NAIROBI","Public well(unprotected) ","2","23373","720300","0.01","62",
"10","MANDERA","Vendors(donkey carts, bicycles, tanker truck, etc.)   ","358","676","4597","52.96","2435",
"10","MANDERA","Piped water (own connection, on the plot)","164","676","4597","24.26","1115",
"10","MANDERA","Piped water (connection of someone else, outside the plot)   ","120","676","4597","17.75","816",
"10","MANDERA","Yard well(protected) ","18","676","4597","2.66","122",
"10","MANDERA","Piped water(communal tap) ","5","676","4597","0.74","34",
"10","MANDERA","Stream,   river, lake, dam, canal, pond ","5","676","4597","0.74","34",
"10","MANDERA","Bottled water ","3","676","4597","0.44","20",
"10","MANDERA","Hand pump(private) ","3","676","4597","0.44","20",
"11","MARSABIT","Vendors(donkey carts, bicycles, tanker truck, etc.)   ","294","571","3894","51.49","2005",
"11","MARSABIT","Yard well(unprotected)   ","109","571","3894","19.09","743",
"11","MARSABIT","Piped water(water kiosk)   ","89","571","3894","15.59","607",
"11","MARSABIT","Piped water (connection of someone else, outside the plot)   ","24","571","3894","4.20","164",
"11","MARSABIT","Yard well(protected) ","22","571","3894","3.85","150",
"11","MARSABIT","Piped water (own connection, on the plot)","17","571","3894","2.98","116",
"11","MARSABIT","Rain water harvesting installation(own installation)   ","8","571","3894","1.40","55",
"11","MARSABIT","Bottled water ","5","571","3894","0.88","34",
"11","MARSABIT","Other ","3","571","3894","0.53","20",
"12","ISIOLO","Piped water (own connection, on the plot)","325","502","5143","64.74","3330",
"12","ISIOLO","Piped water (connection of someone else, outside the plot)   ","154","502","5143","30.68","1578",
"12","ISIOLO","Borehole with kiosk / taps ","9","502","5143","1.79","92",
"12","ISIOLO","Piped water(water kiosk)   ","7","502","5143","1.39","72",
"12","ISIOLO","Stream,   river, lake, dam, canal, pond ","5","502","5143","1.00","51",
"12","ISIOLO","Spring(unprotected) ","2","502","5143","0.40","20",
"13","MERU","Piped water (own connection, on the plot)","1471","1963","29487","74.94","22096",
"13","MERU","Piped water (connection of someone else, outside the plot)   ","180","1963","29487","9.17","2704",
"13","MERU","Stream,   river, lake, dam, canal, pond ","154","1963","29487","7.85","2313",
"13","MERU","Spring(protected) ","37","1963","29487","1.88","556",
"13","MERU","Vendors(donkey carts, bicycles, tanker truck, etc.)   ","33","1963","29487","1.68","496",
"13","MERU","Piped water(water kiosk)   ","30","1963","29487","1.53","451",
"13","MERU","Spring(unprotected) ","26","1963","29487","1.32","391",
"13","MERU","Piped water(Public stand pipe) ","11","1963","29487","0.56","165",
"13","MERU","Yard well(protected) ","6","1963","29487","0.31","90",
"13","MERU","Rain water harvesting installation(own installation)   ","6","1963","29487","0.31","90",
"13","MERU","Other ","3","1963","29487","0.15","45",
"13","MERU","Bottled water ","3","1963","29487","0.15","45",
"13","MERU","Borehole with kiosk / taps ","2","1963","29487","0.10","30",
"13","MERU","Piped water(communal tap) ","1","1963","29487","0.05","15",
"14","THARAKA NITHI","Piped water (own connection, on the plot)","125","220","2370","56.82","1347",
"14","THARAKA NITHI","Piped water(communal tap) ","37","220","2370","16.82","399",
"14","THARAKA NITHI","Piped water(water kiosk)   ","23","220","2370","10.45","248",
"14","THARAKA NITHI","Piped water (connection of someone else, outside the plot)   ","21","220","2370","9.55","226",
"14","THARAKA NITHI","Stream,   river, lake, dam, canal, pond ","9","220","2370","4.09","97",
"14","THARAKA NITHI","Vendors(donkey carts, bicycles, tanker truck, etc.)   ","2","220","2370","0.91","22",
"14","THARAKA NITHI","Borehole with kiosk / taps ","1","220","2370","0.45","11",
